Number,Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Cr,Mn,Co,Ni,Rb,Sr,Y,Zr,Ba,Nd,Eu,Yb,Lu,Ta,U,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,Rb_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Yb_clr,Lu_clr,Ta_clr,U_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
1,    Ap22C05,CRD,BEARTOOTH,yes,Slave,11650,53630,6939,258200,111200,35.78,612.9,8843,520.5,11.91,188.4,0.22,144.6,2.03,9.45,3.92,8.27,0.49,0.11,0.01,0.03,0.01,5.70,7.23,5.19,8.80,7.96,-0.08,2.76,5.43,2.60,-1.18,1.58,-5.17,1.32,-2.95,-1.41,-2.29,-1.55,-4.37,-5.87,-8.26,-7.17,-8.26,0.078423041,-0.024469602,-0.074810076,0.119473811,-0.046518524,-0.113637151,-0.042182762,-0.024888848,-0.025172948,-0.011380939,0.021668444,0.0020236,-0.006437459,0.018549979,0.030228046,0.021153929,-0.005581251,-0.004840147,-0.007730061,0.022893124,-0.016225648,-1.15E-15
2,    Ap22C06,CRD,BEARTOOTH,yes,Slave,3933,59170,12720,255500,117400,10.16,403.4,4057,448.2,17.07,273,16.74,173.1,0.95,8.75,71.6,10.55,0.33,0.07,0.007201763,0.8,0.12,4.20,6.91,5.37,8.37,7.60,-1.76,1.92,4.23,2.03,-1.24,1.53,-1.26,1.08,-4.13,-1.91,0.19,-1.72,-5.19,-6.74,-9.01,-4.30,-6.20,0.355194498,-0.256275236,0.238464423,-0.075294669,-0.038161593,0.092088801,-0.047432174,-0.078375522,0.063063408,0.07770196,-0.092435783,0.072640284,0.006898668,-0.037780493,-0.063845648,0.060437063,0.044199408,0.004841402,-0.032273193,-0.003518127,0.003783418,8.26E-16
3,    Ap22C07,CRD,BEARTOOTH,yes,Slave,9894,44760,9163,257100,113300,16.1,748.6,8787,490.9,15.72,259,8.17,199.4,1.44,10.26,84.61,12.08,0.44,0.031200232,0.01,0.5,0.04,5.09,6.60,5.02,8.35,7.53,-1.33,2.51,4.98,2.09,-1.35,1.45,-2.01,1.19,-3.74,-1.78,0.33,-1.61,-4.93,-7.57,-8.71,-4.80,-7.32,0.323641948,-0.22911136,0.161256787,-0.080307988,-0.132885034,-0.024301003,-0.05294354,-0.013915068,0.104565872,0.021388215,0.057273801,0.04655075,0.014225698,-0.027306308,-0.024506463,0.016668139,0.015901499,0.001237797,0.039880398,0.012777398,-0.011686039,-5.88E-16
4,    Ap22C08,CRD,BEARTOOTH,yes,Slave,11150,52360,13930,257700,105800,11.16,332.4,7807,501.5,16.26,306,0.19,123.2,0.71,3.93,1.12,5.25,0.23,0.028643604,0.005283566,0.02,0.01,6.01,7.56,6.23,9.15,8.26,-0.90,2.50,5.65,2.91,-0.52,2.41,-4.97,1.50,-3.65,-1.94,-3.20,-1.65,-4.78,-6.86,-8.55,-7.22,-7.92,0.045316924,0.1684624,0.036690872,-0.050693331,0.008385821,-0.052657861,-0.025356135,0.024774811,-0.001204412,-0.041398141,-0.011508176,0.032497299,-0.059036048,-0.038556346,-0.01034575,0.000452768,0.02486246,0.025096065,0.004812434,0.000233511,0.006541855,5.59E-16
5,    Ap22C09,CRD,BEARTOOTH,yes,Slave,8670,51250,13160,257300,108900,11.76,473.9,5161,461.8,15.45,231,0.92,137.3,0.75,2.62,20.61,5.18,0.22,0.027270207,0.01,0.08,0.03,5.46,7.24,5.88,8.85,7.99,-1.14,2.55,4.94,2.53,-0.87,1.83,-3.69,1.31,-3.90,-2.64,-0.58,-1.96,-5.12,-7.21,-8.21,-6.13,-7.11,0.160337883,-0.01811604,0.183819141,-0.023197608,-0.031186694,0.063191436,-0.034961711,0.024257103,0.057164433,-0.026626092,0.047415761,0.034611403,-0.002169968,-0.053506371,-0.015956216,0.003931225,0.005576431,0.023001534,-0.017953713,-0.004886087,0.004576141,3.77E-16
6,    Ap27A13,CRD,BEARTOOTH,yes,Slave,33460,79120,14590,254800,134500,190.3,77.44,23740,643.9,12.26,214.6,5.18,1180,10.28,89.08,79.32,102.6,3.27,0.56,0.07,0.36,0.15,5.46,6.32,4.63,7.49,6.85,0.29,-0.61,5.11,1.51,-2.45,0.41,-3.32,2.11,-2.63,-0.47,-0.59,-0.33,-3.78,-5.54,-7.62,-5.98,-6.86,0.369044465,-0.603633884,-0.280683003,0.019496892,0.203059409,-0.064368449,-0.289267871,-0.020556193,-0.088218786,-0.011160022,-0.013318638,-0.009504122,-0.028645566,-0.025036321,0.03745012,-0.049219464,-0.026657966,0.021896331,-0.01257835,0.006877182,-0.00197524,-7.06E-16
7,    Ap27A14,CRD,BEARTOOTH,yes,Slave,15090,92960,10020,256100,143700,16.05,357.2,11170,599.9,17.66,296.5,0.100680944,452.8,1.02,4.93,7.58,18.03,0.37,0.11,0.02,0.04,0.04,5.79,7.61,5.38,8.62,8.04,-1.06,2.04,5.49,2.56,-0.96,1.86,-6.13,2.28,-3.81,-2.24,-1.81,-0.94,-4.83,-6.04,-7.75,-7.05,-7.05,0.173455786,-0.001775909,-0.042001045,0.050824513,0.159313235,0.010934363,-0.024389218,0.025632335,-0.013335864,-0.045728308,-0.026544328,0.029981703,0.086102275,-0.022989123,0.019508906,-0.033539333,-0.034126992,0.001550777,0.005238313,-0.026125308,0.004132956,1.91E-16
8,    Ap27A15,CRD,BEARTOOTH,yes,Slave,15460,93450,13900,258000,137800,18.06,730.3,9029,645,19.44,308.5,0.069961857,147.1,2.09,8.2,1.89,6.37,0.43,0.030386283,0.00554523,0.03,0.01,6.07,7.87,5.96,8.88,8.26,-0.68,3.02,5.53,2.89,-0.61,2.15,-6.24,1.41,-2.84,-1.47,-2.94,-1.73,-4.42,-7.07,-8.77,-7.08,-8.18,0.026913994,0.160972874,-0.019129746,-0.029467038,-0.067969314,-0.10710811,0.018786854,0.017151032,-0.002608999,0.04256947,0.009875971,-0.069388007,-0.020287032,-0.073429368,0.004796718,-0.02134556,0.004664232,0.022205871,-0.007261759,-0.00404363,0.006818507,4.48E-16
9,    Ap27A16,CRD,BEARTOOTH,yes,Slave,14200,87060,11310,257000,127900,10.48,318.5,8329,618.3,19.94,330.1,0.073309567,83.9,0.71,3.68,0.44,4.34,0.29,0.02438176,0.003693751,0.02,0.00560428,6.35,8.16,6.12,9.25,8.55,-0.86,2.55,5.82,3.22,-0.22,2.59,-5.82,1.22,-3.55,-1.91,-4.03,-1.74,-4.45,-6.92,-8.81,-7.12,-8.39,-0.022292729,0.285210542,0.023929747,-0.070221329,0.019371079,-0.134394023,-0.018530969,0.018309135,-0.033050351,0.028965161,-0.033086923,-0.046389543,-0.059622985,-0.048627377,-0.014277135,-0.022155107,-0.006552206,-0.023347888,-0.003584157,0.005682356,-0.005568541,-5.66E-16
10,    Ap27A17,CRD,BEARTOOTH,yes,Slave,8709,101000,6912,257700,148600,11.49,277.6,6023,662.3,19.92,355.7,0.93,151.2,0.56,1.16,11.08,4.77,0.2,0.17,0.006780006,0.01,0.02,5.55,8.00,5.32,8.94,8.39,-1.08,2.10,5.18,2.97,-0.53,2.35,-3.60,1.49,-4.10,-3.38,-1.12,-1.96,-5.13,-5.30,-8.52,-8.13,-7.44,0.06929003,0.130337553,0.160108548,0.108482428,0.130444395,0.007728864,0.009960701,-0.110784008,-0.183279678,-0.032165329,-0.034784601,0.05717772,0.022077634,-0.001434514,0.026536664,-0.007988491,0.000157698,0.006786194,-0.012890249,0.017753226,0.001559197,-1.52E-16
11,    Ap27A18,CRD,BEARTOOTH,yes,Slave,12390,87080,8924,256200,134400,18.45,784.6,7001,633.6,19.83,307.1,1.09,155.8,1.05,4.62,12.98,6.04,0.3,0.03051215,0.004531622,0.09,0.01,5.71,7.66,5.38,8.74,8.09,-0.80,2.95,5.14,2.74,-0.73,2.01,-3.63,1.33,-3.67,-2.18,-1.15,-1.92,-4.92,-7.20,-9.11,-6.12,-8.32,0.128163163,0.075285228,0.165380613,-0.054038767,-0.11434873,-0.112760701,-0.014609326,-0.039911933,7.73E-06,0.045899061,0.021201589,-0.012870543,0.037604758,-0.02328636,0.006948259,-0.02088496,0.013070049,0.013833987,0.007973184,0.015109386,-0.004036249,-3.09E-16
12,    Ap27A19,CRD,BEARTOOTH,yes,Slave,17200,84800,9743,256300,139900,23.97,1099,11840,646.5,19.02,289,0.3,170,1.12,6.32,0.148445586,5.89,0.32,0.1,0.003363568,0.02,0.003723749,6.28,7.88,5.71,8.98,8.38,-0.29,3.53,5.91,3.00,-0.52,2.20,-4.67,1.67,-3.36,-1.63,-5.38,-1.70,-4.61,-5.77,-9.16,-7.38,-9.06,-0.042818207,0.231225803,-0.038949977,0.053695978,-0.119127793,-0.204733224,0.017444484,-0.020174418,-0.076521885,0.030116777,-0.101749671,0.052487049,-0.00215137,0.061612365,-0.014477628,-0.026598645,-0.006401017,0.012599228,0.013158933,0.019314969,0.009614601,3.92E-16
13,    Ap27A20,CRD,BEARTOOTH,yes,Slave,16680,86610,10940,258100,122900,12.93,523.4,11660,646,19.06,324.1,0.047517672,198.3,1.23,10.04,0.79,9.46,0.28,0.02850292,0.004448429,0.04,0.01,6.24,7.88,5.82,8.98,8.23,-0.92,2.78,5.88,2.99,-0.54,2.30,-6.53,1.81,-3.28,-1.18,-3.72,-1.24,-4.76,-7.04,-8.90,-6.70,-8.09,0.079642199,0.197806007,-0.019009909,-0.080301917,-0.009903039,-0.130349805,0.016491989,0.045572145,0.021732326,0.011638523,-0.071917056,-0.035293246,0.014545435,-0.035376073,0.025742931,-0.01208209,-0.003831129,0.026631581,0.03083839,-0.007756229,0.002929427,2.08E-16
14,    Ap27A21,CRD,BEARTOOTH,yes,Slave,8801,93200,6889,257700,141700,10.59,284.8,5233,585.1,20.1,344.4,0.55,144.6,0.37,1.03,7.31,4.13,0.16,0.026761691,0.004354648,0.03,0.007730853,5.76,8.12,5.52,9.14,8.54,-0.96,2.33,5.24,3.05,-0.32,2.52,-3.92,1.65,-4.31,-3.29,-1.33,-1.90,-5.15,-6.94,-8.76,-6.83,-8.18,0.080496701,0.214066894,0.224722043,-0.050838308,0.055789794,-0.077223084,-0.035541706,-0.050170143,-0.04833925,6.63E-05,0.016712017,-0.000203425,0.044261544,-0.014386866,-0.002056892,-0.019851746,8.77E-05,0.011322733,-0.00083706,0.011994144,-0.007734008,-4.35E-16
15,    Ap27A22,CRD,BEARTOOTH,yes,Slave,7625,96800,5928,258600,142900,9.02,384.36,5668,708.4,28.66,425,5.04,231.2,0.53,2.83,172.7,7.06,0.21,0.07,0.006219384,0.37,0.12,4.92,7.46,4.67,8.45,7.85,-1.82,1.94,4.63,2.55,-0.66,2.04,-2.40,1.43,-4.65,-2.98,1.14,-2.06,-5.58,-6.68,-9.10,-5.01,-6.14,0.343773239,-0.089212917,0.360358116,-0.059840796,0.032596066,0.094661683,0.017431654,-0.113239414,-0.026428152,0.043521684,-0.065535228,0.017031756,0.042221108,0.001662303,0.01804809,0.007102097,-0.026088911,-0.015996801,0.00902427,-0.019052285,0.002940594,3.82E-17
16,    Ap27A23,CRD,BEARTOOTH,yes,Slave,10370,91470,8402,257300,145500,15.68,1020,5970,571.1,19.61,211.2,0.44,159.5,1.03,4.51,29.27,5.22,0.29,0.02949997,0.01,0.11,0.05,5.46,7.64,5.25,8.67,8.10,-1.04,3.14,4.91,2.56,-0.81,1.56,-4.61,1.28,-3.76,-2.28,-0.41,-2.14,-5.03,-7.31,-8.39,-6.00,-6.78,0.175642822,-0.009982366,0.191246477,0.00747125,-0.075432452,0.070751664,0.044082187,0.029548151,0.040867264,0.049956705,0.043938026,-0.062885817,0.054978955,-0.02464551,-0.000278494,-0.012260756,-0.024085729,-0.007450388,-0.019393444,0.004376872,0.014294715,4.39E-16
17,    Ap27A24,CRD,BEARTOOTH,yes,Slave,8680,104200,7404,257700,168600,14.65,433.9,5419,629.7,25.48,339.3,0.104022085,178.3,0.73,1.56,9.65,6.24,0.3,0.04,0.006960756,0.02,0.03,5.56,8.04,5.40,8.95,8.52,-0.83,2.56,5.09,2.93,-0.27,2.32,-5.77,1.67,-3.83,-3.07,-1.24,-1.68,-4.71,-6.73,-8.48,-7.42,-7.02,0.087480822,0.137636657,0.096413046,-0.004694431,0.105821525,0.014407756,0.066118685,-0.035019431,-0.042257641,0.036608318,0.040813078,-0.049007651,0.028764397,-0.018896758,0.014742489,-0.016864872,0.001231064,-0.002881269,-0.021963893,-0.019478512,-0.006955233,-2.81E-16
18,    Ap27A25,CRD,BEARTOOTH,yes,Slave,8066,92260,6509,256300,135100,7.77,330.7,6331,635.9,23.09,332,2.78,139,0.41,1.66,19.05,5.08,0.2,0.02184419,0.003625364,0.17,0.06,5.36,7.80,5.15,8.82,8.18,-1.59,2.17,5.12,2.82,-0.50,2.17,-2.61,1.30,-4.53,-3.13,-0.69,-2.01,-5.25,-7.46,-9.26,-5.41,-6.45,0.234406102,0.038017235,0.319644856,-0.144551022,0.033974844,0.033011577,0.044458815,-0.028373871,-0.010289586,0.075092443,-0.039663639,-0.019962514,-0.004427127,-0.000328003,-0.016319129,-0.002900881,-0.0201695,-0.011666101,-0.000881546,0.011388746,-0.002233361,-2.81E-16
19,    Ap27A26,CRD,BEARTOOTH,yes,Slave,8664,84220,6540,255600,145300,12.05,431,5840,633.5,24.03,320.6,2.78,166.6,0.46,1.42,35.89,5.13,0.23,0.026299606,0.004876212,0.1,0.06,5.36,7.63,5.08,8.74,8.18,-1.22,2.36,4.97,2.74,-0.53,2.06,-2.68,1.41,-4.48,-3.36,-0.13,-2.07,-5.18,-7.34,-9.03,-6.01,-6.52,0.216209918,0.009866062,0.294623826,-0.096910126,0.021053362,0.051034037,0.050233234,-0.038075479,-0.022780032,0.054084121,0.023274474,-0.008371868,0.003584561,0.014076371,0.000148967,-0.016605667,-0.005684407,-0.002597217,-0.004943413,0.00808082,-0.000220931,-1.11E-16
20,    Ap27A27,CRD,BEARTOOTH,yes,Slave,8734,91450,6148,257500,140900,9.23,295.3,7023,740.2,25.33,428.5,3.48,172,0.48,1.89,65.3,5.26,0.16,0.024217922,0.004670288,0.25,0.13,5.26,7.61,4.91,8.64,8.04,-1.60,1.87,5.04,2.79,-0.59,2.24,-2.57,1.33,-4.55,-3.18,0.36,-2.16,-5.65,-7.54,-9.18,-5.20,-5.86,0.308740698,-0.014209983,0.394751487,-0.143069508,0.049796695,0.101822008,0.051048737,-0.047801324,-0.005725291,0.028972432,-0.049304794,-0.035941613,-0.010256539,0.000849957,0.015362178,-0.012000225,-0.030024473,0.019655234,0.019121797,-0.001469619,-0.000841446,-1.04E-16
21,    Ap22A03,CRD,KOALA,yes,Slave,12260,43590,9869,256500,78960,14.25,621.5,9205,394.1,10.95,181.7,0.038074986,152.9,1.22,5.43,0.144151739,7.17,0.33,0.06,0.01,0.02,0.01,6.17,7.43,5.95,9.21,8.03,-0.59,3.18,5.88,2.73,-0.85,1.95,-6.52,1.78,-3.05,-1.56,-5.18,-1.28,-4.36,-6.06,-7.85,-7.16,-7.85,-0.00671844,0.115134535,-0.154633103,0.076191339,0.00023118,-0.064922873,0.004484235,0.078144966,0.056697489,-0.034558081,-0.039587588,0.039898596,-0.026443428,0.015469326,-0.037381802,0.023016712,-0.053771036,-0.008516275,-0.002136836,0.003161821,0.004092943,4.86E-17
22,    Ap22A04,CRD,KOALA,yes,Slave,13580,42550,8608,256600,88280,13.93,849.7,5552,499.7,14.77,371,0.24,161.2,1,4.81,5.97,6.15,0.3,0.06,0.006502159,0.03,0.03,5.94,7.08,5.48,8.88,7.81,-0.94,3.17,5.05,2.64,-0.88,2.34,-5.00,1.51,-3.58,-2.01,-1.79,-1.76,-4.78,-6.39,-8.61,-7.08,-7.08,0.121425721,0.041243216,0.027258546,0.008939016,-0.061971622,0.036238115,0.071906778,-0.054999665,0.0136368,-0.039615495,0.016831811,0.061257177,-0.03857238,0.006658406,0.034747073,0.009637732,-0.013248332,-0.002698273,0.01422511,-0.00136134,-0.007703911,-5.88E-16
23,    Ap22A05,CRD,KOALA,yes,Slave,10360,35210,8555,257600,88720,12.12,536.6,5631,414,11.98,187.8,0.108369124,116.1,0.84,3.36,6.58,4.79,0.26,0.04,0.007266984,0.05,0.02,5.86,7.09,5.67,9.08,8.01,-0.89,2.90,5.25,2.64,-0.90,1.85,-5.60,1.37,-3.56,-2.17,-1.50,-1.82,-4.73,-6.60,-8.31,-6.38,-7.29,0.123284832,0.019456793,0.053535902,0.02234866,-0.05167816,0.014115515,0.000150313,0.017665176,0.053815313,-0.026926083,0.035022708,0.036702603,-0.03952429,-0.013509732,0.030843989,0.045030507,-0.036545248,-0.016181105,-0.027429493,-0.01881357,-0.017711812,-1.12E-15
24,    Ap22A06,CRD,KOALA,yes,Slave,7642,42520,8503,257600,96350,9.29,383.6,4118,390.6,13.31,203.8,0.04797985,132,0.62,2.07,1.22,4.78,0.21,0.025604446,0.006360573,0.01,0.01,5.88,7.60,5.99,9.40,8.42,-0.83,2.89,5.26,2.91,-0.47,2.26,-6.10,1.82,-3.54,-2.33,-2.86,-1.50,-4.62,-6.73,-8.12,-7.67,-7.67,0.016001299,0.176272546,-0.012411025,0.010969369,0.051252898,-0.014183112,0.015231103,0.033182794,0.033180132,-0.026608915,0.05060679,0.027578995,-0.015244045,-0.018647377,0.007506878,0.038525398,0.006471718,0.013546784,-0.008515595,0.004360355,-0.001186288,-5.81E-17
25,    Ap22A07,CRD,KOALA,yes,Slave,10170,44980,10950,258400,86030,8.99,200.8,4699,333.6,11.15,202.4,0.058562805,246.4,0.82,4.62,0.29,12.48,0.29,0.04,0.01,0.03,0.01,6.02,7.50,6.09,9.25,8.15,-1.02,2.09,5.24,2.60,-0.80,2.10,-6.05,2.29,-3.41,-1.68,-4.45,-0.69,-4.45,-6.43,-7.82,-6.72,-7.82,0.058557172,0.083554894,-0.147654854,-0.036368699,0.131556534,-0.059964011,-0.092549685,0.061467043,0.080141453,-0.023787466,-0.047766012,0.065532275,0.018973873,-0.02727346,-0.035027433,0.035976091,-0.02927155,0.012665611,0.009098818,0.000674811,-0.005342621,-1.53E-16
26,    Ap22A09,CRD,KOALA,yes,Slave,7465,41950,7834,256100,94840,12.31,614.1,3837,399.7,14.35,137.6,0.024979257,104.3,0.53,2.4,0.87,3.47,0.18,0.026476344,0.01,0.01,0.01,5.90,7.63,5.95,9.44,8.44,-0.51,3.40,5.24,2.98,-0.35,1.91,-6.71,1.63,-3.65,-2.14,-3.15,-1.77,-4.73,-6.65,-7.62,-7.62,-7.62,-0.020171895,0.187751083,0.00693192,0.099274334,0.012432524,0.025779518,0.015509268,0.087284278,0.070842994,-0.035917726,0.059384088,0.001650747,0.003492112,0.01281153,0.012305312,0.028162154,-0.007179634,-0.00948781,-0.017431264,0.003491748,0.01412247,6.70E-16
27,    Ap22A10,CRD,KOALA,yes,Slave,10100,43560,9418,258000,91510,13.11,760.7,4855,459.4,13.57,187.1,0.05624687,149.7,0.72,3.4,2.24,5.63,0.27,0.02783547,0.01,0.02,0.01,5.94,7.40,5.87,9.18,8.14,-0.71,3.35,5.21,2.85,-0.67,1.95,-6.16,1.73,-3.61,-2.06,-2.47,-1.55,-4.59,-6.86,-7.88,-7.19,-7.88,0.037501742,0.1275929,-0.013034071,0.04949546,-0.02222375,-0.026028378,0.007768949,0.057568867,0.088130301,-0.024583947,0.077856102,0.028571676,0.008569245,-0.014047566,0.017353796,0.005793806,-0.001676668,-0.01453386,-0.007299762,0.003878997,0.005026154,1.06E-16
28,    Ap22A11,CRD,KOALA,yes,Slave,12330,40300,9228,258100,92600,12.39,810.9,5600,459.1,13.12,245.8,0.25,146.3,0.88,4.2,2.68,5.27,0.27,0.06,0.01,0.02,0.01,5.99,7.18,5.70,9.03,8.01,-0.91,3.27,5.20,2.70,-0.85,2.08,-4.81,1.56,-3.56,-1.99,-2.44,-1.77,-4.74,-6.24,-8.03,-7.34,-8.03,0.051619958,0.085104204,0.002178813,0.087817949,-0.064389779,-0.020090356,-0.008505144,-0.00525129,0.026390157,-0.058013979,0.046155323,0.082559077,-0.010840031,-0.003815825,0.00795998,0.007209244,-0.011810636,-0.008770193,0.020787021,0.017588852,0.004742383,2.43E-17
29,    Ap22A12,CRD,KOALA,yes,Slave,14770,40590,8875,257000,88290,26.08,481.7,11700,457.7,11.24,201.6,0.23,146.3,0.69,6.47,8.8,5.65,0.27,0.027710489,0.006566663,0.03,0.02,6.08,7.09,5.57,8.94,7.87,-0.26,2.66,5.85,2.61,-1.10,1.79,-4.99,1.47,-3.89,-1.65,-1.34,-1.79,-4.83,-7.10,-8.54,-7.02,-7.43,0.14730875,0.01510031,0.057357187,-0.037099944,-0.063688183,-0.014356419,-0.006423793,0.052805151,-0.003095753,-0.071976313,0.063510364,0.00432015,-0.036429808,0.021436488,0.04917994,0.004187927,0.015067669,0.008607039,-0.017186114,0.012827849,0.001644563,-4.36E-17
30,    Ap22A13,CRD,KOALA,yes,Slave,5866,51370,6641,257500,91610,7.88,187.3,4174,446.4,15.6,270.4,0.58,102.3,0.3,1.06,4.75,2.82,0.13,0.05,0.005491227,0.02,0.01,5.54,7.71,5.66,9.32,8.29,-1.08,2.09,5.20,2.96,-0.39,2.46,-3.68,1.49,-4.34,-3.08,-1.58,-2.10,-5.18,-6.14,-8.34,-7.05,-7.74,0.075733531,0.159272577,0.202410003,0.03415878,0.080460835,0.000900958,-0.062703517,-0.063532873,-0.057149727,-0.05712232,-0.008095721,0.056934417,-0.024812646,0.00157364,-0.007669874,0.034759182,-0.007138919,-0.005291983,-0.014390714,0.010717756,0.005330515,2.78E-16
31,    Ap24F12,CRD,KOALA,yes,Slave,11220,73520,9456,254900,120400,33.71,1145,14500,602.1,18.94,335.6,5.55,216.9,1.72,10.6,84.14,11.66,0.43,0.07,0.01,0.3,0.07,5.05,6.93,4.88,8.17,7.42,-0.76,2.77,5.31,2.13,-1.33,1.54,-2.56,1.10,-3.73,-1.91,0.16,-1.82,-5.12,-6.93,-8.88,-5.48,-6.93,0.297200986,-0.201719429,0.17093924,-0.018815005,-0.130246554,0.007285915,0.02303787,-0.043887406,0.01779956,-0.00178617,0.002353404,0.012083686,0.040759574,0.010783423,-0.016459234,-0.015026389,0.018680094,0.016680931,0.010272754,-0.002789021,-0.001426239,3.26E-16
32,    Ap24F13,CRD,KOALA,yes,Slave,13330,59510,8704,256600,105100,24.21,794.6,14870,574.6,15.24,255.4,0.063477206,158.8,1.16,6.92,1.22,6.17,0.34,0.028009093,0.005318539,0.03,0.01,6.04,7.54,5.61,9.00,8.10,-0.27,3.22,6.15,2.90,-0.73,2.08,-6.22,1.61,-3.31,-1.52,-3.26,-1.64,-4.54,-7.03,-8.69,-6.96,-8.06,0.06789209,0.14249286,-0.016328867,-0.015477664,-0.075947375,-0.119634693,0.041248909,0.046457236,0.026433794,-0.010601392,0.018320491,-0.039990959,-0.030772187,0.015589691,0.009965466,-0.007376565,-0.002390904,0.007390202,-0.001314248,-0.002439574,0.003732548,6.42E-17
